price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
3950000,"Московская область, Подольск, Плещеевская ул., 40",55.456959,37.577364,Бунинская аллея,2,3,26.2,unknown,unknown,1940,Косметический,unknown,unknown,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://podolsk.cian.ru/sale/flat/304598757/
3990000,"Московская область, Серпухов, ул. Ворошилова, 165",54.930227,37.449614,unknown,1,9,33.0,18.0,7.6,1978,Косметический,2.5,На улицу,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://serpukhov.cian.ru/sale/flat/298562734/
4000000,"Московская область, Раменское, р-н Западный, мкр. Холодово, ул. Космонавтов, 21",55.58874,38.200974,Есенинская,1,5,29.6,18.0,6.0,1969,Косметический,2.5,На улицу,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://ramenskoye.cian.ru/sale/flat/306635341/
4020000,"Московская область, Рузский городской округ, Тучково рп, Дружный микрорайон, 15",55.6031466271516,36.4959139735704,unknown,4,5,28.34,14.0,7.0,2022,Неизвестно,2.52,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ТехноСтройОлимп,https://ruza.cian.ru/sale/flat/304482059/
4020000,"Московская область, Рузский городской округ, Тучково рп, Дружный микрорайон, 12",55.6038512038845,36.4954955489648,unknown,4,5,28.59,14.2,7.0,2022,Предчистовая,unknown,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ТехноСтройОлимп,https://ruza.cian.ru/sale/flat/304482135/
4011726,"Московская область, Рузский городской округ, Тучково рп, ул. Москворецкая, 2к1",55.604763,36.481464,unknown,7,7,36.6,24.1,7.5,2023,Неизвестно,2.85,unknown,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://ruza.cian.ru/sale/flat/299286650/
4034100,"Московская область, Рузский городской округ, Тучково рп, ул. Москворецкая, 2к1",55.604763,36.481464,unknown,2,9,35.6,15.0,8.3,2023,Неизвестно,2.85,unknown,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://ruza.cian.ru/sale/flat/300946194/
4034100,"Московская область, Рузский городской округ, Тучково рп, ул. Москворецкая, 2к1",55.604763,36.481464,unknown,7,9,35.24,15.0,8.3,2023,Неизвестно,2.85,unknown,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://ruza.cian.ru/sale/flat/299286608/
4020000,"Московская область, Рузский городской округ, Тучково рп, Дружный микрорайон, 13",55.6037889465424,36.4963806779399,unknown,3,5,28.47,14.6,6.9,2022,Неизвестно,unknown,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ТехноСтройОлимп,https://ruza.cian.ru/sale/flat/304482083/
4020000,"Московская область, Рузский городской округ, Тучково рп, Дружный микрорайон, 13",55.6037889465424,36.4963806779399,unknown,4,5,28.63,14.6,6.9,2022,Неизвестно,unknown,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ТехноСтройОлимп,https://ruza.cian.ru/sale/flat/304482080/
