price,location,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,accomodation_type,url
92000000,"Москва, ЦАО, р-н Замоскворечье, Большой Ордынский пер., 4С4",Третьяковская,2,6,75.0,58.0,6.0,2020,Дизайнерский,unknown,unknown,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/290001136/
97000000,"Москва, ЗАО, р-н Крылатское, Крылатская ул., 45К4",Крылатское,2,7,250.0,123.0,30.0,2006,unknown,3.0,Во двор,Вторичка,https://www.cian.ru/sale/flat/298983974/
99554600,"Москва, СЗАО, р-н Покровское-Стрешнево, Алиа жилой комплекс",Спартак,1,22,163.4,45.3,60.1,2025,"Без отделки, предчистовая",3.02,unknown,Новостройка,https://www.cian.ru/sale/flat/300842855/
110000000,"Москва, ЦАО, р-н Тверской, Сущевская ул., 31",Менделеевская,8,8,201.2,140.0,20.0,2001,Дизайнерский,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/306639536/
134000000,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3",Аэропорт,19,50,213.8,171.0,unknown,2006,Евроремонт,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/305779304/
170000000,"Москва, ЦАО, р-н Пресненский, Звенигородское ш., 11",Улица 1905 года,12,16,177.0,60.0,58.0,2022,Дизайнерский,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/303390440/
260000000,"Москва, ЗАО, р-н Раменки, Минская ул., 2Вк3",Минская,3,5,220.9,unknown,unknown,2019,Без ремонта,3.5,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/306369705/
370000000,"Москва, ЦАО, р-н Замоскворечье, Озерковская наб., 6",Новокузнецкая,5,5,261.0,175.0,23.0,unknown,Без ремонта,unknown,На улицу и двор,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/304442092/
11500000,"Москва, СВАО, р-н Северное Медведково, ул. Тихомирова, 5",Медведково,14,14,37.0,20.0,8.0,2004,Косметический,2.74,Во двор,Вторичка,https://www.cian.ru/sale/flat/304785312/
47000000,"Москва, ЗАО, р-н Раменки, ул. Лобачевского, 120к1",Аминьевская,28,39,71.0,50.0,unknown,2022,Дизайнерский,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/303447463/
48000000,"Москва, СВАО, р-н Останкинский, просп. Мира, 83",Алексеевская,10,10,74.6,45.0,8.0,2012,Евроремонт,3.1,На улицу,Вторичка,https://www.cian.ru/sale/flat/304786928/
51000000,"Москва, ЗАО, р-н Дорогомилово, Поклонная ул., 9",Парк Победы,10,32,64.4,unknown,10.0,unknown,Дизайнерский,unknown,На улицу и двор,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/306071968/
93000000,"Москва, СЗАО, р-н Щукино, ул. Расплетина, 21",Октябрьское поле,21,32,142.9,115.0,22.9,2011,Дизайнерский,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/306832426/
95000000,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15",Деловой центр,51,75,123.0,69.0,15.0,2013,Дизайнерский,unknown,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/297087850/
105000000,"Москва, ЗАО, р-н Крылатское, Островной проезд, 7К1",Молодёжная,3,4,211.5,140.0,13.0,2003,Евроремонт,unknown,Во двор,Вторичка,https://www.cian.ru/sale/flat/300142375/
115000000,"Москва, ЦАО, р-н Тверской, ул. Малая Дмитровка, 23/15С1",Пушкинская,4,6,192.0,unknown,16.7,1913,Дизайнерский,3.0,unknown,Вторичка,https://www.cian.ru/sale/flat/297256666/
117000000,"Москва, ЦАО, р-н Якиманка, 1-й Спасоналивковский пер., 18С2",Полянка,3,8,132.0,unknown,10.0,2007,Дизайнерский,3.2,unknown,Вторичка,https://www.cian.ru/sale/flat/304551413/
125000000,"Московская область, Одинцовский городской округ, Жуковка деревня, 58",Крылатское,5,5,228.0,unknown,unknown,2006,Дизайнерский,unknown,На улицу и двор,Вторичка,https://odintsovo.cian.ru/sale/flat/303199796/
140000000,"Москва, ЦАО, р-н Пресненский, ул. Костикова, 4к3",Улица 1905 года,2,21,116.0,50.0,32.0,2023,Дизайнерский,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/301520504/
170000000,"Москва, ЦАО, р-н Пресненский, Звенигородское ш., 11",Улица 1905 года,12,16,177.0,90.0,30.0,2022,Дизайнерский,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/305270270/
205000000,"Москва, СЗАО, р-н Щукино, Авиационная ул., 79Б",Щукинская,4,30,560.0,unknown,26.0,2001,Дизайнерский,3.0,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/306598935/
218000000,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3",Аэропорт,45,57,663.0,320.0,30.0,2006,Без ремонта,3.5,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/301640466/
243000000,"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 6с2",Деловой центр,40,60,175.0,125.0,20.0,2011,Дизайнерский,unknown,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/295152325/
243000000,"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 6с2",Деловой центр,40,60,175.0,125.0,20.0,2011,Дизайнерский,unknown,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/295152257/
253000000,"Москва, ЮАО, р-н Донской, ул. Орджоникидзе, 1",Шаболовская,17,17,230.0,120.6,18.0,2017,Дизайнерский,unknown,На улицу и двор,Вторичка / Пентхаус,https://www.cian.ru/sale/flat/303290501/
265500000,"Москва, ЦАО, р-н Арбат, ул. Малая Молчановка, 8С1",Арбатская,2,9,162.0,115.0,14.0,1913,Дизайнерский,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/295203875/
330000000,"Москва, ЦАО, р-н Пресненский, Звенигородское ш., 11",Улица 1905 года,16,16,310.4,147.6,22.9,2022,Дизайнерский,unknown,На улицу и двор,Вторичка / Пентхаус,https://www.cian.ru/sale/flat/305012282/
370000000,"Москва, ЦАО, р-н Замоскворечье, Озерковская наб., 6",Новокузнецкая,5,5,261.4,unknown,20.0,2021,Косметический,3.6,unknown,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/304423536/
4480000,"Московская область, Королев, мкр. Завокзальный, Садовая ул., 5",Медведково,1,5,31.6,18.5,6.5,1959,Без ремонта,2.6,На улицу,Вторичка,https://korolev.cian.ru/sale/flat/304688892/
4700000,"Московская область, Балашиха, мкр. Новое Павлино, ул. Бояринова, 9",Некрасовка,13,20,28.1,16.6,5.0,2019,Евроремонт,2.8,На улицу,Вторичка,https://balashikha.cian.ru/sale/flat/304685813/
5500000,"Московская область, Королев, мкр. Завокзальный, Садовая ул., 9",Медведково,2,5,32.0,18.0,6.0,1960,Косметический,2.5,На улицу,Вторичка,https://korolev.cian.ru/sale/flat/304694342/
6200000,"Московская область, Королев, мкр. Костино, ул. Строителей, 11",Медведково,5,5,41.7,27.9,6.0,1963,Косметический,unknown,Во двор,Вторичка,https://korolev.cian.ru/sale/flat/305951178/
6300000,"Московская область, Королев, мкр. Юбилейный, ул. Лесная, 5",Медведково,6,9,44.7,26.1,8.5,1968,Без ремонта,2.7,На улицу,Вторичка,https://korolev.cian.ru/sale/flat/300935906/
9000000,"Московская область, Королев, мкр. Костино, просп. Космонавтов, 41а",Медведково,7,14,50.3,30.0,8.0,1988,Евроремонт,2.65,На улицу и двор,Вторичка,https://korolev.cian.ru/sale/flat/303830624/
9550000,"Московская область, Королев, мкр. Болшево, Бурковский проезд, 44к3",Медведково,3,4,50.1,21.0,16.0,2019,Дизайнерский,2.7,На улицу и двор,Вторичка,https://korolev.cian.ru/sale/flat/305185855/
9800000,"Москва, НАО (Новомосковский), Филимонковское поселение, ул. Жемчужная, 1к4",Филатов Луг,1,5,40.0,unknown,10.0,2021,Дизайнерский,3.0,Во двор,Вторичка,https://www.cian.ru/sale/flat/306937872/
9900000,"Московская область, Королев, мкр. Костино, просп. Космонавтов, 11",ВДНХ,2,16,58.0,35.0,11.0,1996,Евроремонт,2.8,На улицу,Вторичка,https://korolev.cian.ru/sale/flat/306174652/
12900000,"Москва, ЮАО, р-н Царицыно, Севанская ул., 8",Царицыно,7,9,58.9,42.0,6.0,1970,Косметический,2.64,Во двор,Вторичка,https://www.cian.ru/sale/flat/303959247/
12950000,"Московская область, Видное, бул. Зеленые аллеи, 3",Домодедовская,16,17,72.3,unknown,21.0,2016,Дизайнерский,2.8,На улицу и двор,Вторичка,https://vidnoye.cian.ru/sale/flat/299620862/
21900000,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Шеногина",Хорошёво,6,20,39.6,16.3,13.6,2024,Чистовая,unknown,На улицу,Новостройка,https://www.cian.ru/sale/flat/291448184/
25645300,"Москва, СЗАО, р-н Хорошево-Мневники, Эмоушен жилой комплекс",Полежаевская,18,28,63.4,29.1,15.9,2027,"Без отделки, черновая",3.0,Во двор,Новостройка / Апартаменты,https://www.cian.ru/sale/flat/292153800/
27111675,"Москва, ЗАО, Рублево-Архангельское микрорайон, Сберсити жилой комплекс, В21 квартал",Опалиха,2,13,56.19,14.8,22.2,2025,"Без отделки, чистовая",4.1,На улицу,Новостройка,https://www.cian.ru/sale/flat/300423805/
30000000,"Москва, САО, р-н Коптево, Большая Академическая ул., 45К1",Коптево,2,9,90.2,unknown,16.0,2004,Евроремонт,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/306073210/
37900000,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 74Б",Ломоносовский проспект,8,29,80.0,50.0,10.0,2017,Дизайнерский,unknown,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/303848561/
43900000,"Москва, СЗАО, р-н Покровское-Стрешнево, Клубный Город на Реке Примавера жилой комплекс, Вивальди квартал",Спартак,13,22,72.9,unknown,unknown,2025,Без отделки,unknown,На улицу,Новостройка,https://www.cian.ru/sale/flat/306467326/
52990000,"Москва, САО, р-н Сокол, ул. Врубеля, 4к1",Сокол,5,12,85.7,39.0,17.0,2023,Без ремонта,3.2,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/306233176/
58411200,"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул., 16",Улица 1905 года,3,20,56.6,31.0,6.0,2022,Дизайнерский,3.0,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/304737200/
58990000,"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 57С1",Новокузнецкая,2,7,65.8,48.5,8.0,2016,Дизайнерский,unknown,Во двор,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/306282663/
